model_family,seed,path,size_bytes,sha256
DeepSets,123,experiments/deepsets_u1000_top1500_raw7_final_train700_seed123_none_h32_phi3_mean_statichead/predictions/val_predictions.csv,8878,716b7cf00cf00364018c4eca3387f8164108df8f994fc4d16bbdc701fde6000a
DeepSets,123,experiments/deepsets_u1000_top1500_raw7_final_train700_seed123_none_h32_phi3_mean_statichead/predictions/test_predictions.csv,17914,4f5024e3ffb59d727f963d0da32e8dd4dd01bcaf4e65619603c2568173f8d95e
DeepSets,2025,experiments/deepsets_u1000_top1500_raw7_final_train700_seed2025_none_h32_phi3_mean_statichead/config.json,2455,834fc3f29c6b43cda89e2caab04e0bdee54ced983affc5b441c8217475bc5569
DeepSets,2025,experiments/deepsets_u1000_top1500_raw7_final_train700_seed2025_none_h32_phi3_mean_statichead/metrics.json,582,16b9b9a80f19d6499ef633bdefab45af7875b44ce13315f168a66f4a62a31e2d
DeepSets,2025,experiments/deepsets_u1000_top1500_raw7_final_train700_seed2025_none_h32_phi3_mean_statichead/train_log.csv,10021,36891fda897aa185633b57bcd89a95a17a81e22914e4e21dc09cd41b7faad067
DeepSets,2025,experiments/deepsets_u1000_top1500_raw7_final_train700_seed2025_none_h32_phi3_mean_statichead/checkpoints/best_model.pt,22882,c5096fadad67903102019cf4d5761b2ed15b2a9ad186a9334edc30427c748701
DeepSets,2025,experiments/deepsets_u1000_top1500_raw7_final_train700_seed2025_none_h32_phi3_mean_statichead/predictions/train_predictions.csv,62418,88f70962bea52af236ac1affd5a0b3b81dbd40b2267ea06e46806cb5180af9f1
DeepSets,2025,experiments/deepsets_u1000_top1500_raw7_final_train700_seed2025_none_h32_phi3_mean_statichead/predictions/val_predictions.csv,8878,8bc98c0e07d27140529a40c3fb8dc6bb8c0ae6935b36a01f5bd825988c0170ef
DeepSets,2025,experiments/deepsets_u1000_top1500_raw7_final_train700_seed2025_none_h32_phi3_mean_statichead/predictions/test_predictions.csv,17970,2b5c7ffd02eb587e37baeabe4a261d4da72e0e989be548a61d326ff4d74a313f
Static GCN,42,experiments/static_gcn_u1000_top1500_sparse_train700_seed42_none_h32_l3_mean_mlp_final/config.json,16692,06b268df60c1c91d8282334f094a847f96d083aaec0f7bb8ea3afc061f88eb08
Static GCN,42,experiments/static_gcn_u1000_top1500_sparse_train700_seed42_none_h32_l3_mean_mlp_final/metrics.json,596,1cdd3c35212a26f92357878d7a50f6433f9d25059d68304079b89c1b6b43a3d4
Static GCN,42,experiments/static_gcn_u1000_top1500_sparse_train700_seed42_none_h32_l3_mean_mlp_final/train_log.csv,11872,b263a6d46cff9c1721077bf74c95866316982e34752038be0282a3d081619249
Static GCN,42,experiments/static_gcn_u1000_top1500_sparse_train700_seed42_none_h32_l3_mean_mlp_final/checkpoints/best_model.pt,109346,49ea8189bec30852bfa0879012144df8b7982291892b976368970c2c0926a487
Static GCN,42,experiments/static_gcn_u1000_top1500_sparse_train700_seed42_none_h32_l3_mean_mlp_final/predictions/train_predictions.csv,62691,c8ad6c96c812c17ed2cdd27f91bf4664a98ffb5ae6d54d1b7b8240c7aea9e0a8
Static GCN,42,experiments/static_gcn_u1000_top1500_sparse_train700_seed42_none_h32_l3_mean_mlp_final/predictions/val_predictions.csv,8886,fe3d1d2ffabe4b791de124dea0316d7dfeed7032955623b4748e0a91809d3d74
Static GCN,42,experiments/static_gcn_u1000_top1500_sparse_train700_seed42_none_h32_l3_mean_mlp_final/predictions/test_predictions.csv,17987,d7f89de153b282d8368ff40d69085259d755562ccbd040edd9011fcd9111b2e7
Static GCN,123,experiments/static_gcn_u1000_top1500_sparse_train700_seed123_none_h32_l3_mean_mlp_final/config.json,16697,2f3fdb9c9cd87b0fc6c58d500dbb4ab8ce031283d84761717668a3741fb10f62
Static GCN,123,experiments/static_gcn_u1000_top1500_sparse_train700_seed123_none_h32_l3_mean_mlp_final/metrics.json,600,9b001e7952f05b4a9df2d643645dc90ee921c3f7fa3d3e496fb818fd02a60288
Static GCN,123,experiments/static_gcn_u1000_top1500_sparse_train700_seed123_none_h32_l3_mean_mlp_final/train_log.csv,9276,f009c1d3fdf237b0f7030248891d179c505fed58957fbd5117fe10063f31af0e
Static GCN,123,experiments/static_gcn_u1000_top1500_sparse_train700_seed123_none_h32_l3_mean_mlp_final/checkpoints/best_model.pt,109346,dce2c8cac85ab8a3f8c3e6ae3247fcaa3cf818c9ae6364b3adf5598bd3ef50eb
Static GCN,123,experiments/static_gcn_u1000_top1500_sparse_train700_seed123_none_h32_l3_mean_mlp_final/predictions/train_predictions.csv,62572,ed09af6f670881abf6f3d2cb65b69d466ebe4fad46a1fcf47a09d8c2af4dacc0
Static GCN,123,experiments/static_gcn_u1000_top1500_sparse_train700_seed123_none_h32_l3_mean_mlp_final/predictions/val_predictions.csv,8874,1c48761b8d6a5a8507def44b984e5da47c28f7eb64f978eaa1dcd1b462566827
Static GCN,123,experiments/static_gcn_u1000_top1500_sparse_train700_seed123_none_h32_l3_mean_mlp_final/predictions/test_predictions.csv,17953,8c7c447cdcf675ec993890ad80237067de37b95771f153e026104645d74e5a87
Static GCN,2025,experiments/static_gcn_u1000_top1500_sparse_train700_seed2025_none_h32_l3_mean_mlp_final/config.json,16702,4262755c33bafcd232900caae8ed1e397fce98ec1f5f06d8bb1c70254bd99dd6
Static GCN,2025,experiments/static_gcn_u1000_top1500_sparse_train700_seed2025_none_h32_l3_mean_mlp_final/metrics.json,605,11db144e9ab2c804acbc26163854a950d58705f428354c3ce331b1915d9a1942
Static GCN,2025,experiments/static_gcn_u1000_top1500_sparse_train700_seed2025_none_h32_l3_mean_mlp_final/train_log.csv,14257,619a35b77138e3b4733eefcf01f7fb556ffa34d1566cda063dec81e08fa76a75
Static GCN,2025,experiments/static_gcn_u1000_top1500_sparse_train700_seed2025_none_h32_l3_mean_mlp_final/checkpoints/best_model.pt,109346,8be14a8dc8e7bb9a6ffb2f20ab5afe9df80e98740dc9db12584426d656b3809f
Static GCN,2025,experiments/static_gcn_u1000_top1500_sparse_train700_seed2025_none_h32_l3_mean_mlp_final/predictions/train_predictions.csv,62693,61c4d76c63890132b7373dfa2349ce841b2bbbd76add135ffeda93fb2fa3e36d
Static GCN,2025,experiments/static_gcn_u1000_top1500_sparse_train700_seed2025_none_h32_l3_mean_mlp_final/predictions/val_predictions.csv,8880,38de11ee3937d809a9ed242896f8956254eef6248a3825cf5f3865c545afba79
Static GCN,2025,experiments/static_gcn_u1000_top1500_sparse_train700_seed2025_none_h32_l3_mean_mlp_final/predictions/test_predictions.csv,17982,fe3a7a3c1e258a5c3a8627b08b1d780209e13ae391e85786e8d924b2c288d061
