universe_id,universe_index,existing_u750_role_seed42,proposed_u1000_role_seed42,existing_u750_role_seed123,proposed_u1000_role_seed123,existing_u750_role_seed2025,proposed_u1000_role_seed2025,raw_data_complete,all_five_snapshots,target_status,top1000_status,minimum_valid_halos
LH_16,16,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,1044
LH_17,17,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,3578
LH_18,18,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6550
LH_19,19,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,6413
LH_20,20,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,1317
LH_21,21,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2329
LH_22,22,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3105
LH_23,23,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,6006
LH_24,24,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2115
LH_25,25,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6226
LH_26,26,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,4513
LH_27,27,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6425
LH_28,28,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,5923
LH_29,29,validation,fixed_validation,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,3290
LH_30,30,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2111
LH_31,31,validation,fixed_validation,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,5376
LH_32,32,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6522
LH_33,33,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,6285
LH_34,34,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4009
LH_35,35,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,3354
LH_36,36,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3726
LH_37,37,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,padding_required,873
LH_38,38,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5061
LH_39,39,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4620
LH_40,40,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4220
LH_41,41,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6330
LH_42,42,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2774
LH_43,43,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4686
LH_44,44,test,fixed_test,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,5775
LH_45,45,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6166
LH_46,46,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5006
LH_47,47,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5059
LH_48,48,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5815
LH_49,49,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4710
LH_50,50,validation,fixed_validation,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5698
LH_51,51,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5763
LH_52,52,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6163
LH_53,53,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2255
LH_54,54,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5904
LH_55,55,validation,fixed_validation,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,3161
LH_56,56,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6015
LH_57,57,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4633
LH_58,58,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,3241
LH_59,59,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5970
LH_60,60,validation,fixed_validation,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,4763
LH_61,61,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,4667
LH_62,62,validation,fixed_validation,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,2676
LH_63,63,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,3196
LH_64,64,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4305
LH_65,65,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4235
LH_66,66,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2556
LH_67,67,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,3432
LH_68,68,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,1484
LH_69,69,validation,fixed_validation,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,2681
LH_70,70,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6347
LH_71,71,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2914
LH_72,72,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4365
LH_73,73,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2456
LH_74,74,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,2178
LH_75,75,train,maximum_training_pool,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,no_padding,1017
LH_76,76,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6191
LH_77,77,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,padding_required,678
LH_78,78,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,4303
LH_79,79,validation,fixed_validation,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,4053
LH_80,80,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,5776
LH_81,81,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6029
LH_82,82,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,6176
LH_83,83,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3187
LH_84,84,validation,fixed_validation,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,4311
LH_85,85,validation,fixed_validation,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,2978
LH_86,86,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2743
LH_87,87,test,fixed_test,validation,fixed_validation,validation,fixed_validation,True,True,finite_consistent,no_padding,4444
LH_88,88,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5797
LH_89,89,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,5823
LH_90,90,train,maximum_training_pool,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,padding_required,697
LH_91,91,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3361
LH_92,92,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,6305
LH_93,93,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,6501
LH_94,94,test,fixed_test,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,no_padding,5290
LH_95,95,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2085
LH_96,96,validation,fixed_validation,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5076
LH_97,97,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6133
LH_98,98,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,5832
LH_99,99,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4647
LH_100,100,validation,fixed_validation,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,3433
LH_101,101,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,4383
LH_102,102,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,padding_required,873
LH_103,103,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,padding_required,723
LH_104,104,test,fixed_test,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,4686
LH_105,105,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4348
LH_106,106,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4108
LH_107,107,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6110
LH_108,108,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6280
LH_109,109,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3999
LH_110,110,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6273
LH_111,111,validation,fixed_validation,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6485
LH_112,112,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3896
LH_113,113,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5957
LH_114,114,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,1032
LH_115,115,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,4087
LH_116,116,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,2363
LH_117,117,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,6142
LH_118,118,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,2987
LH_119,119,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2835
LH_120,120,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5535
LH_121,121,validation,fixed_validation,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5080
LH_122,122,train,maximum_training_pool,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,no_padding,5892
LH_123,123,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4107
LH_124,124,train,maximum_training_pool,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,3844
LH_125,125,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,5644
LH_126,126,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3464
LH_127,127,test,fixed_test,validation,fixed_validation,validation,fixed_validation,True,True,finite_consistent,no_padding,1020
LH_128,128,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,padding_required,875
LH_129,129,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6101
LH_130,130,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,5642
LH_131,131,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4362
LH_132,132,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,2484
LH_133,133,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,padding_required,385
LH_134,134,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5906
LH_135,135,validation,fixed_validation,validation,fixed_validation,validation,fixed_validation,True,True,finite_consistent,no_padding,2320
LH_136,136,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,1548
LH_137,137,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6001
LH_138,138,train,maximum_training_pool,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,no_padding,5929
LH_139,139,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,6714
LH_140,140,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6131
LH_141,141,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5624
LH_142,142,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,1681
LH_143,143,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,5244
LH_144,144,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4985
LH_145,145,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,2118
LH_146,146,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6377
LH_147,147,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4065
LH_148,148,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6339
LH_149,149,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,2377
LH_150,150,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6647
LH_151,151,validation,fixed_validation,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,6491
LH_152,152,train,maximum_training_pool,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,6132
LH_153,153,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2820
LH_154,154,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5673
LH_155,155,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,5649
LH_156,156,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,1262
LH_157,157,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,5382
LH_158,158,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5396
LH_159,159,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6024
LH_160,160,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6426
LH_161,161,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,padding_required,350
LH_162,162,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4234
LH_163,163,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,3885
LH_164,164,train,maximum_training_pool,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,2825
LH_165,165,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5071
LH_166,166,test,fixed_test,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,1936
LH_167,167,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4412
LH_168,168,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,1806
LH_169,169,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,5770
LH_170,170,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4483
LH_171,171,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5626
LH_172,172,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6284
LH_173,173,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5011
LH_174,174,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,4540
LH_175,175,test,fixed_test,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,3449
LH_176,176,train,maximum_training_pool,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,5108
LH_177,177,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,4446
LH_178,178,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4974
LH_179,179,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,padding_required,989
LH_180,180,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5447
LH_181,181,train,maximum_training_pool,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,no_padding,6684
LH_182,182,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4171
LH_183,183,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5361
LH_184,184,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,padding_required,417
LH_185,185,train,maximum_training_pool,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6383
LH_186,186,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,1785
LH_187,187,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5686
LH_188,188,train,maximum_training_pool,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,2494
LH_189,189,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3698
LH_190,190,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,5946
LH_191,191,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,1512
LH_192,192,train,maximum_training_pool,validation,fixed_validation,validation,fixed_validation,True,True,finite_consistent,no_padding,5790
LH_193,193,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,6800
LH_194,194,validation,fixed_validation,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,6031
LH_195,195,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,5085
LH_196,196,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6602
LH_197,197,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,5371
LH_198,198,train,maximum_training_pool,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,3477
LH_199,199,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6395
LH_200,200,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,2899
LH_201,201,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,6859
LH_202,202,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5976
LH_203,203,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6226
LH_204,204,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,4084
LH_205,205,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5886
LH_206,206,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4928
LH_207,207,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3725
LH_208,208,validation,fixed_validation,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,5637
LH_209,209,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6338
LH_210,210,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,4889
LH_211,211,train,maximum_training_pool,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,5781
LH_212,212,train,maximum_training_pool,validation,fixed_validation,validation,fixed_validation,True,True,finite_consistent,no_padding,5103
LH_213,213,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,6417
LH_214,214,test,fixed_test,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,5928
LH_215,215,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5715
LH_216,216,test,fixed_test,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5861
LH_217,217,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,1990
LH_218,218,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,5358
LH_219,219,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5606
LH_220,220,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,6324
LH_221,221,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5965
LH_222,222,train,maximum_training_pool,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,2472
LH_223,223,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4783
LH_224,224,test,fixed_test,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,5977
LH_225,225,test,fixed_test,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3054
LH_226,226,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,3996
LH_227,227,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,2641
LH_228,228,test,fixed_test,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,6454
LH_229,229,train,maximum_training_pool,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,1989
LH_230,230,test,fixed_test,test,fixed_test,test,fixed_test,True,True,finite_consistent,no_padding,1874
LH_231,231,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5561
LH_232,232,validation,fixed_validation,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,4612
LH_233,233,test,fixed_test,validation,fixed_validation,test,fixed_test,True,True,finite_consistent,no_padding,3030
LH_234,234,test,fixed_test,test,fixed_test,test,fixed_test,True,True,finite_consistent,padding_required,580
LH_235,235,validation,fixed_validation,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,4629
LH_236,236,validation,fixed_validation,validation,fixed_validation,train,maximum_training_pool,True,True,finite_consistent,no_padding,2641
LH_237,237,train,maximum_training_pool,train,maximum_training_pool,test,fixed_test,True,True,finite_consistent,no_padding,4448
LH_238,238,test,fixed_test,test,fixed_test,train,maximum_training_pool,True,True,finite_consistent,no_padding,6325
LH_239,239,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5138
LH_240,240,train,maximum_training_pool,test,fixed_test,validation,fixed_validation,True,True,finite_consistent,no_padding,4716
LH_241,241,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,padding_required,649
LH_242,242,train,maximum_training_pool,train,maximum_training_pool,train,maximum_training_pool,True,True,finite_consistent,no_padding,5961
LH_243,243,validation,fixed_validation,train,maximum_training_pool,validation,fixed_validation,True,True,finite_consistent,no_padding,6314
