experiment_name,model,seed,dataset_path,head_type,graph_pooling,temporal_pooling,hidden_dim,num_layers,batch_size,train_count,val_count,test_count,train_hash,val_hash,test_hash,config_exists,metrics_exists,predictions_exist,checkpoint_exists_only,reuse_class,reason
evolvegcn_h_750u_top1000_h32_seed42_none_linear_head_meanmax,EvolveGCNHRegressor,42,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean_max,mean,32,2,4,450,99,201,2da4582a3ef63f790c89d01ef3bf46321d666853c8bae692af5ab9edcd553457,b3504d7eda165cd7523a3d206100f99fb03944f0bbf63b102cd02945b9a9c880,bb0ebc3a94dc385121094b1ef3372b09095f417eb56df4e0320bd94328511405,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed42_none_linear_head_temporal_last,EvolveGCNHRegressor,42,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,last,32,2,4,450,99,201,2da4582a3ef63f790c89d01ef3bf46321d666853c8bae692af5ab9edcd553457,b3504d7eda165cd7523a3d206100f99fb03944f0bbf63b102cd02945b9a9c880,bb0ebc3a94dc385121094b1ef3372b09095f417eb56df4e0320bd94328511405,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed42_none_mlp_relu_repeat,EvolveGCNHRegressor,42,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,mlp,mean,mean,32,2,4,450,99,201,2da4582a3ef63f790c89d01ef3bf46321d666853c8bae692af5ab9edcd553457,b3504d7eda165cd7523a3d206100f99fb03944f0bbf63b102cd02945b9a9c880,bb0ebc3a94dc385121094b1ef3372b09095f417eb56df4e0320bd94328511405,True,True,True,True,duplicate,known exact duplicate MLP reproduction; wrong head
evolvegcn_h_750u_top1000_h32_seed777_none,EvolveGCNHRegressor,777,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,mlp,mean,mean,32,2,4,450,99,201,2be7adf31a70dbbe43316c139ef7499191b9fd471c01a2de9212c64a8bddac93,6a75194f4c8147ffb89526ce509d73e3af5f098f7204d765932b5cac7a34f793,a755169a22fc0d819c76d5f7507f33bd11d499479b459cf64b940db0c8bb77e0,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed777_none_linear_head,EvolveGCNHRegressor,777,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,mean,32,2,4,450,99,201,2be7adf31a70dbbe43316c139ef7499191b9fd471c01a2de9212c64a8bddac93,6a75194f4c8147ffb89526ce509d73e3af5f098f7204d765932b5cac7a34f793,a755169a22fc0d819c76d5f7507f33bd11d499479b459cf64b940db0c8bb77e0,True,True,True,True,excluded_with_reason,exact protocol but seed outside initial 42/123/2025 matrix
evolvegcn_h_750u_top1000_h32_seed777_none_linear_head_meanmax,EvolveGCNHRegressor,777,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean_max,mean,32,2,4,450,99,201,2be7adf31a70dbbe43316c139ef7499191b9fd471c01a2de9212c64a8bddac93,6a75194f4c8147ffb89526ce509d73e3af5f098f7204d765932b5cac7a34f793,a755169a22fc0d819c76d5f7507f33bd11d499479b459cf64b940db0c8bb77e0,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed777_none_linear_head_temporal_last,EvolveGCNHRegressor,777,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,last,32,2,4,450,99,201,2be7adf31a70dbbe43316c139ef7499191b9fd471c01a2de9212c64a8bddac93,6a75194f4c8147ffb89526ce509d73e3af5f098f7204d765932b5cac7a34f793,a755169a22fc0d819c76d5f7507f33bd11d499479b459cf64b940db0c8bb77e0,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed999_none,EvolveGCNHRegressor,999,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,mlp,mean,mean,32,2,4,450,99,201,c530bc8b1ed1dd0b9763966e8708cc8c8c71c40e631b0d37598020de55881656,dd5ea6cbcc7b9589fca28dc4050f0444cf45030385c7dc1597191af8a7cab262,85932e111f34b175fa5edeb1c31cb837039757c9a2e1feba9a2d6a83b0a0b423,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed999_none_linear_head,EvolveGCNHRegressor,999,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,mean,32,2,4,450,99,201,c530bc8b1ed1dd0b9763966e8708cc8c8c71c40e631b0d37598020de55881656,dd5ea6cbcc7b9589fca28dc4050f0444cf45030385c7dc1597191af8a7cab262,85932e111f34b175fa5edeb1c31cb837039757c9a2e1feba9a2d6a83b0a0b423,True,True,True,True,excluded_with_reason,exact protocol but seed outside initial 42/123/2025 matrix
evolvegcn_h_750u_top1000_h32_seed999_none_linear_head_meanmax,EvolveGCNHRegressor,999,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean_max,mean,32,2,4,450,99,201,c530bc8b1ed1dd0b9763966e8708cc8c8c71c40e631b0d37598020de55881656,dd5ea6cbcc7b9589fca28dc4050f0444cf45030385c7dc1597191af8a7cab262,85932e111f34b175fa5edeb1c31cb837039757c9a2e1feba9a2d6a83b0a0b423,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
evolvegcn_h_750u_top1000_h32_seed999_none_linear_head_temporal_last,EvolveGCNHRegressor,999,data/processed/temporal_750u_none_top1000_periodic_knn/camels_750u_temporal_logmass_none_top1000_periodic_knn.pt,linear,mean,last,32,2,4,450,99,201,c530bc8b1ed1dd0b9763966e8708cc8c8c71c40e631b0d37598020de55881656,dd5ea6cbcc7b9589fca28dc4050f0444cf45030385c7dc1597191af8a7cab262,85932e111f34b175fa5edeb1c31cb837039757c9a2e1feba9a2d6a83b0a0b423,True,True,True,True,incompatible,"head, graph pooling, temporal pooling, target normalization, hybrid input, or planned seed differs"
