model,hidden_dim,num_layers,k,seed,candidate_experiment,dataset_path,split_source,artifact_completeness,reusable,incompatible,missing,replacement_required,exact_incompatibility_reason,proposed_new_experiment_name
EvolveGCN-H,32,2,12,2025,none,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,missing 0/5,no,no,yes,no,no h32/L2 artifact exists for this k and seed,evolvegcn_h_500u_k12_h32_l2_seed2025
EvolveGCN-H,64,2,4,42,evolvegcn_h_500u_k4_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,4,123,evolvegcn_h_500u_k4_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,4,2025,evolvegcn_h_500u_k4_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,6,42,evolvegcn_h_500u_k6_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,6,123,evolvegcn_h_500u_k6_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,6,2025,evolvegcn_h_500u_k6_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,8,42,evolvegcn_h_500u_k8_h64_seed42,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,8,123,evolvegcn_h_500u_k8_h64_seed123,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,8,2025,evolvegcn_h_500u_k8_h64_seed2025,data/processed/temporal_500u_minmax/camels_500u_temporal_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,12,42,evolvegcn_h_500u_k12_seed42,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,12,123,evolvegcn_h_500u_k12_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
EvolveGCN-H,64,2,12,2025,evolvegcn_h_500u_k12_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,32,3,4,42,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k4_h32_l3_batch8_seed42
Static GCN,32,3,4,123,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k4_h32_l3_batch8_seed123
Static GCN,32,3,4,2025,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k4_h32_l3_batch8_seed2025
Static GCN,32,3,6,42,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k6_h32_l3_batch8_seed42
Static GCN,32,3,6,123,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k6_h32_l3_batch8_seed123
Static GCN,32,3,6,2025,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k6_h32_l3_batch8_seed2025
Static GCN,32,3,8,42,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 incompatible L2 candidate; desired L3 row missing,no,yes,yes,yes,existing canonical h32 candidate uses num_layers=2 but chosen Static factorial protocol requires num_layers=3,static_gcn_500u_k8_h32_l3_batch8_seed42
Static GCN,32,3,8,123,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 incompatible L2 candidate; desired L3 row missing,no,yes,yes,yes,existing canonical h32 candidate uses num_layers=2 but chosen Static factorial protocol requires num_layers=3,static_gcn_500u_k8_h32_l3_batch8_seed123
Static GCN,32,3,8,2025,static_gcn_u500_top100_norm-minmax_h32_l2_gpool-mean_conv-gcn_batch8_canonical300_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 incompatible L2 candidate; desired L3 row missing,no,yes,yes,yes,existing canonical h32 candidate uses num_layers=2 but chosen Static factorial protocol requires num_layers=3,static_gcn_500u_k8_h32_l3_batch8_seed2025
Static GCN,32,3,12,42,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k12_h32_l3_batch8_seed42
Static GCN,32,3,12,123,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k12_h32_l3_batch8_seed123
Static GCN,32,3,12,2025,none,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,missing 0/5,no,no,yes,no,no h32/L3 artifact exists for this k and seed,static_gcn_500u_k12_h32_l3_batch8_seed2025
Static GCN,64,3,4,42,static_gcn_500u_k4_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,4,123,static_gcn_500u_k4_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,4,2025,static_gcn_500u_k4_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,6,42,static_gcn_500u_k6_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,6,123,static_gcn_500u_k6_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,6,2025,static_gcn_500u_k6_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,8,42,static_gcn_500u_k8_h64_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,8,123,static_gcn_500u_k8_h64_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,8,2025,static_gcn_500u_k8_h64_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,12,42,static_gcn_500u_k12_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed42_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,12,123,static_gcn_500u_k12_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed123_final32/config.json,5/5 complete,yes,no,no,no,,
Static GCN,64,3,12,2025,static_gcn_500u_k12_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_static_logmass_minmax_top100_periodic_knn_k12.pt,experiments/evolvegcn_h_500u_seed2025_final32/config.json,5/5 complete,yes,no,no,no,,
