model,experiment_name,universe_count,top_n,snapshots_processed_per_universe,nodes_per_snapshot,k,directed_knn_neighbor_selections_per_snapshot,symmetric_adjacency_nonzeros_per_snapshot_lower_bound,symmetric_adjacency_nonzeros_per_snapshot_upper_bound,neighbor_selections_per_universe,batch_size,epochs_logged,epoch_duration,total_training_duration,maximum_gpu_memory,cpu_memory,checkpoint_size_bytes,prediction_time,notes
EvolveGCN-H,evolvegcn_h_500u_seed123_final32,500,100,5,100,8,800,800,1600,4000,4,105,not recorded,not recorded,not recorded,not recorded,40938210,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_seed2025_final32,500,100,5,100,8,800,800,1600,4000,4,45,not recorded,not recorded,not recorded,not recorded,40938210,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_seed42_final32,500,100,5,100,8,800,800,1600,4000,4,48,not recorded,not recorded,not recorded,not recorded,40938210,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top200_h32_seed123,500,200,5,200,8,1600,1600,3200,8000,4,200,not recorded,not recorded,not recorded,not recorded,40938210,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top200_h32_seed2025,500,200,5,200,8,1600,1600,3200,8000,4,131,not recorded,not recorded,not recorded,not recorded,40938210,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top200_h32_seed42,500,200,5,200,8,1600,1600,3200,8000,4,137,not recorded,not recorded,not recorded,not recorded,40938210,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed123_minmax,500,500,5,500,8,4000,4000,8000,20000,4,209,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed123_none,500,500,5,500,8,4000,4000,8000,20000,4,67,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed123_zscore,500,500,5,500,8,4000,4000,8000,20000,4,96,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed2025_minmax,500,500,5,500,8,4000,4000,8000,20000,4,141,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed2025_none,500,500,5,500,8,4000,4000,8000,20000,4,203,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed2025_zscore,500,500,5,500,8,4000,4000,8000,20000,4,101,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42,500,500,5,500,8,4000,4000,8000,20000,4,109,not recorded,not recorded,not recorded,not recorded,40938210,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_hybrid_summary,500,500,5,500,8,4000,4000,8000,20000,4,55,not recorded,not recorded,not recorded,not recorded,40976738,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_hybrid_summary_norm,500,500,5,500,8,4000,4000,8000,20000,4,56,not recorded,not recorded,not recorded,not recorded,40978722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_leakyrelu,500,500,5,500,8,4000,4000,8000,20000,4,109,not recorded,not recorded,not recorded,not recorded,40938594,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_linear_head,500,500,5,500,8,4000,4000,8000,20000,4,142,not recorded,not recorded,not recorded,not recorded,40923554,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_linear_head_targetnorm,500,500,5,500,8,4000,4000,8000,20000,4,138,not recorded,not recorded,not recorded,not recorded,40923746,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_meanmax,500,500,5,500,8,4000,4000,8000,20000,4,71,not recorded,not recorded,not recorded,not recorded,40950626,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_none_norm,500,500,5,500,8,4000,4000,8000,20000,4,80,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed42_zscore,500,500,5,500,8,4000,4000,8000,20000,4,52,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed777_minmax,500,500,5,500,8,4000,4000,8000,20000,4,137,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed777_none,500,500,5,500,8,4000,4000,8000,20000,4,114,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed777_zscore,500,500,5,500,8,4000,4000,8000,20000,4,76,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed999_minmax,500,500,5,500,8,4000,4000,8000,20000,4,87,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed999_none,500,500,5,500,8,4000,4000,8000,20000,4,68,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_500u_top500_h32_seed999_zscore,500,500,5,500,8,4000,4000,8000,20000,4,100,not recorded,not recorded,not recorded,not recorded,40938722,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_50u_seed123_final32,50,100,5,100,8,800,800,1600,4000,4,48,not recorded,not recorded,not recorded,not recorded,40931042,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_50u_seed2025,50,100,5,100,8,800,800,1600,4000,4,42,not recorded,not recorded,not recorded,not recorded,40931042,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_50u_seed42,50,100,5,100,8,800,800,1600,4000,4,99,not recorded,not recorded,not recorded,not recorded,40931042,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed123_none,750,1000,5,1000,8,8000,8000,16000,40000,4,100,not recorded,not recorded,not recorded,not recorded,40942754,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head,750,1000,5,1000,8,8000,8000,16000,40000,4,189,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_meanmax,750,1000,5,1000,8,8000,8000,16000,40000,4,81,not recorded,not recorded,not recorded,not recorded,40928098,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed123_none_linear_head_temporal_last,750,1000,5,1000,8,8000,8000,16000,40000,4,119,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed2025_none,750,1000,5,1000,8,8000,8000,16000,40000,4,154,not recorded,not recorded,not recorded,not recorded,40942754,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head,750,1000,5,1000,8,8000,8000,16000,40000,4,92,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head_meanmax,750,1000,5,1000,8,8000,8000,16000,40000,4,118,not recorded,not recorded,not recorded,not recorded,40928098,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed2025_none_linear_head_temporal_last,750,1000,5,1000,8,8000,8000,16000,40000,4,110,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed42_none,750,1000,5,1000,8,8000,8000,16000,40000,4,110,not recorded,not recorded,not recorded,not recorded,40942754,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head,750,1000,5,1000,8,8000,8000,16000,40000,4,111,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head_meanmax,750,1000,5,1000,8,8000,8000,16000,40000,4,73,not recorded,not recorded,not recorded,not recorded,40928098,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed42_none_linear_head_temporal_last,750,1000,5,1000,8,8000,8000,16000,40000,4,161,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed42_none_mlp_relu_repeat,750,1000,5,1000,8,8000,8000,16000,40000,4,110,not recorded,not recorded,not recorded,not recorded,40942754,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed777_none,750,1000,5,1000,8,8000,8000,16000,40000,4,54,not recorded,not recorded,not recorded,not recorded,40942754,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head,750,1000,5,1000,8,8000,8000,16000,40000,4,55,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head_meanmax,750,1000,5,1000,8,8000,8000,16000,40000,4,79,not recorded,not recorded,not recorded,not recorded,40928098,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed777_none_linear_head_temporal_last,750,1000,5,1000,8,8000,8000,16000,40000,4,159,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed999_none,750,1000,5,1000,8,8000,8000,16000,40000,4,85,not recorded,not recorded,not recorded,not recorded,40942754,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head,750,1000,5,1000,8,8000,8000,16000,40000,4,150,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head_meanmax,750,1000,5,1000,8,8000,8000,16000,40000,4,77,not recorded,not recorded,not recorded,not recorded,40928098,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_750u_top1000_h32_seed999_none_linear_head_temporal_last,750,1000,5,1000,8,8000,8000,16000,40000,4,154,not recorded,not recorded,not recorded,not recorded,40927714,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,100,100,5,100,8,800,800,1600,4000,4,41,not recorded,not recorded,not recorded,not recorded,40932386,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,100,100,5,100,8,800,800,1600,4000,4,130,not recorded,not recorded,not recorded,not recorded,40932386,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,20,100,5,100,8,800,800,1600,4000,4,42,not recorded,not recorded,not recorded,not recorded,40931170,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,20,100,5,100,8,800,800,1600,4000,4,68,not recorded,not recorded,not recorded,not recorded,40931170,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed123,500,100,5,100,12,1200,1200,2400,6000,4,49,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed2025,500,100,5,100,12,1200,1200,2400,6000,4,45,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k12_h32_l2_factorial_seed42,500,100,5,100,12,1200,1200,2400,6000,4,48,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed123,500,100,5,100,4,400,400,800,2000,4,53,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed2025,500,100,5,100,4,400,400,800,2000,4,45,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k4_h32_l2_factorial_seed42,500,100,5,100,4,400,400,800,2000,4,47,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed123,500,100,5,100,6,600,600,1200,3000,4,55,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed2025,500,100,5,100,6,600,600,1200,3000,4,45,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u500_top100_norm-minmax_k6_h32_l2_factorial_seed42,500,100,5,100,6,600,600,1200,3000,4,47,not recorded,not recorded,not recorded,not recorded,40938786,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,50,100,5,100,8,800,800,1600,4000,4,42,not recorded,not recorded,not recorded,not recorded,40931618,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
EvolveGCN-H,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,50,100,5,100,8,800,800,1600,4000,4,99,not recorded,not recorded,not recorded,not recorded,40931618,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_100u_seed123_final32,100,100,1,100,8,800,800,1600,800,8,44,not recorded,not recorded,not recorded,not recorded,74338,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_100u_seed2025,100,100,1,100,8,800,800,1600,800,4,62,not recorded,not recorded,not recorded,not recorded,74274,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_100u_seed42,100,100,1,100,8,800,800,1600,800,4,96,not recorded,not recorded,not recorded,not recorded,74274,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_200u_seed123_final32,200,100,1,100,8,800,800,1600,800,8,75,not recorded,not recorded,not recorded,not recorded,75938,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_200u_seed2025_final32,200,100,1,100,8,800,800,1600,800,8,67,not recorded,not recorded,not recorded,not recorded,75938,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_200u_seed42_final32,200,100,1,100,8,800,800,1600,800,8,42,not recorded,not recorded,not recorded,not recorded,75938,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_20u_seed123_final32,20,100,1,100,8,800,800,1600,800,8,50,not recorded,not recorded,not recorded,not recorded,73122,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_20u_seed2025,20,100,1,100,8,800,800,1600,800,4,47,not recorded,not recorded,not recorded,not recorded,73122,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_20u_seed42,20,100,1,100,8,800,800,1600,800,4,52,not recorded,not recorded,not recorded,not recorded,73122,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k12_seed123,500,100,1,100,12,1200,1200,2400,1200,8,68,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k12_seed2025,500,100,1,100,12,1200,1200,2400,1200,8,53,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k12_seed42,500,100,1,100,12,1200,1200,2400,1200,8,46,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k4_seed123,500,100,1,100,4,400,400,800,400,8,70,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k4_seed2025,500,100,1,100,4,400,400,800,400,8,43,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k4_seed42,500,100,1,100,4,400,400,800,400,8,80,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k6_seed123,500,100,1,100,6,600,600,1200,600,8,110,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
Static GCN,static_gcn_500u_k6_seed2025,500,100,1,100,6,600,600,1200,600,8,63,not recorded,not recorded,not recorded,not recorded,273058,not recorded,adjacency is symmetrized; exact unique edge count requires graph loading and was not inspected
